Page #,Page Name,URL,Page Type,Parent Page,Template,Content Source,Tier / Priority,Primary CTA,Secondary CTA,Section #,Section Name,Section Purpose / Intent,Internal Links From This Section,Notes
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.1,Sticky Header / Nav,"Persistent access to the brand-led Shop mega-menu, search, account, cart and one-tap WhatsApp so the ready buyer can reach any product from any scroll depth.",/collections/all | /pages/brands | /pages/occasions-gifts | /blogs/guides | /search | /account | /cart,Buy-led: Shop is the dominant nav item. WhatsApp click-to-chat persistent on mobile.
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.2,Announcement Bar,Carries the verifiable next-day-delivery + COD/BNPL promise to remove logistics doubt before the first scroll.,/policies/shipping-policy,Real delivery terms only (R-2). No fabricated stock/viewer counters.
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.3,Shop-First Hero,"Leads with product for the ready buyer and Gifter: best-sellers / featured collections / occasion entry, with express paths to purchase (Decision 1: buy-led, A2 shop-first hero).",/collections/best-sellers | /pages/occasions-gifts | /collections/[brand-slug],"Hero leads with PRODUCT, not the quiz. Sub-2s mobile load (guardrail)."
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.4,Shop by Brand,Primary catalogue entry point: elevated 'Our Brands' group + the search-demand A-Z houses — the spine of a brand-led store (Decision 3).,/pages/brands | /collections/fragrance-secrets | /collections/secret-scents | /collections/paris-collection | /collections/[brand-slug] x8-12,Own brands elevated ABOVE resale A-Z (margin + R-1 split).
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.5,Best-Sellers / Trending,Gives the ready buyer a one-tap path to proven products — core to the buy-led posture.,/collections/best-sellers | /products/[product-slug] x6-8,Dynamic best-seller collection.
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.6,Shop by Occasion,Surfaces the Gifter's high-AOV entry (Eid/wedding/gifting/date-night) — a Tier-1 anchor intent (A5).,/pages/occasions-gifts | /collections/eid | /collections/wedding | /collections/gifts-for-him | /collections/gifts-for-her,Seasonal merchandising; swap featured occasion by calendar.
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.7,Trust / Authenticity Strip,Stacks authenticity + COD + returns + secure-payment signals to neutralise the genuine-at-this-price blocker (A4).,/pages/sourcing-promise | /policies/refund-policy,Transparent sourcing wording (R-1). No 'direct from brand' where untrue.
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.8,Find My Scent Assist Band,Secondary rescue for the undecided shopper — present but clearly subordinate to shopping (Decision 1: quiz is secondary).,/pages/find-my-scent,"Secondary, not hero. Captures email -> Klaviyo."
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.9,Shop by Category Band,Audience cuts (Men's/Women's/Unisex/Kids) — the #1 secondary axis (Decision 3 ranking).,/collections/mens-collection | /collections/womens-collection | /collections/unisex-collection | /collections/kids-perfume,Secondary axis 1.
1,Homepage,/,Static,—,Custom build,Manual + dynamic collections,Tier 1,Shop best-sellers / Add to Cart,Shop by Occasion | Find My Scent (assist) | WhatsApp,1.10,Gift Sets & Discovery Kits Band,Promotes higher-AOV sets and the low-commitment trial path (gifting anchor + AOV).,/collections/gift-sets | /collections/discovery-kits,AOV (Goal 2).
